is_laki,month,minus_3_sd,minus_2_sd,minus_1_sd,median,plus_1_sd,plus_2_sd,plus_3_sd
1,58,12.2,13.8,15.8,18.0,20.6,23.7,26.7
1,59,12.3,14.0,15.9,18.2,20.8,23.9,27.0
1,60,12.4,14.1,16.0,18.3,21.0,24.2,27.3
0,0,2.0,2.4,2.8,3.2,3.7,4.2,4.8
0,1,2.7,3.2,3.6,4.2,4.8,5.5,6.2
0,2,3.4,3.9,4.5,5.1,5.8,6.6,7.5
0,3,4.0,4.5,5.2,5.8,6.6,7.5,8.4
0,4,4.4,5.0,5.7,6.4,7.3,8.2,9.2
0,5,4.8,5.4,6.1,6.9,7.8,8.8,9.9
0,6,5.1,5.7,6.5,7.3,8.2,9.3,10.4
0,7,5.3,6.0,6.8,7.6,8.6,9.8,10.8
0,8,5.6,6.3,7.0,7.9,9.0,10.2,11.3
0,9,5.8,6.5,7.3,8.2,9.3,10.5,11.8
0,10,5.9,6.7,7.5,8.5,9.6,10.9,12.2
0,11,6.1,6.9,7.7,8.7,9.9,11.2,12.6
0,12,6.3,7.0,7.9,8.9,10.1,11.5,12.9
0,13,6.4,7.2,8.1,9.2,10.4,11.8,13.2
0,14,6.6,7.4,8.3,9.4,10.6,12.1,13.6
0,15,6.7,7.6,8.5,9.6,10.9,12.4,13.8
0,16,6.9,7.7,8.7,9.8,11.1,12.6,14.2
0,17,7.0,7.9,8.9,10.0,11.4,12.9,14.5
0,18,7.2,8.1,9.1,10.2,11.6,13.2,14.8
0,19,7.3,8.2,9.2,10.4,11.8,13.5,15.1
0,20,7.5,8.4,9.4,10.6,12.1,13.7,15.4
0,21,7.6,8.6,9.6,10.9,12.3,14.0,15.7
0,22,7.8,8.7,9.8,11.1,12.5,14.3,16.0
0,23,7.9,8.9,10.0,11.3,12.8,14.6,16.3
0,24,8.1,9.0,10.2,11.5,13.0,14.8,16.7
0,25,8.2,9.2,10.3,11.7,13.3,15.1,17.0
0,26,8.4,9.4,10.5,11.9,13.5,15.4,17.3
0,27,8.5,9.5,10.7,12.1,13.7,15.7,17.6
0,28,8.6,9.7,10.9,12.3,14.0,16.0,17.9
0,29,8.8,9.8,11.1,12.5,14.2,16.2,18.3
0,30,8.9,10.0,11.2,12.7,14.4,16.5,18.6
0,31,9.0,10.1,11.4,12.9,14.7,16.8,18.9
0,32,9.1,10.3,11.6,13.1,14.9,17.1,19.2
0,33,9.3,10.4,11.7,13.3,15.1,17.3,19.5
0,34,9.4,10.5,11.9,13.5,15.4,17.6,19.8
0,35,9.5,10.7,12.0,13.7,15.6,17.9,20.1
0,36,9.6,10.8,12.2,13.9,15.8,18.1,20.5
0,37,9.7,10.9,12.4,14.0,16.0,18.4,20.8
0,38,9.8,11.1,12.5,14.2,16.3,18.7,21.1
0,39,9.9,11.2,12.7,14.4,16.5,19.0,21.5
0,40,10.1,11.3,12.8,14.6,16.7,19.2,21.8
0,41,10.2,11.5,13.0,14.8,16.9,19.5,22.1
0,42,10.3,11.6,13.1,15.0,17.2,19.8,22.5
0,43,10.4,11.7,13.3,15.2,17.4,20.1,22.8
0,44,10.5,11.8,13.4,15.3,17.6,20.4,23.1
0,45,10.6,12.0,13.6,15.5,17.8,20.7,23.5
0,46,10.7,12.1,13.7,15.7,18.1,20.9,23.8
0,47,10.8,12.2,13.9,15.9,18.3,21.2,24.1
0,48,10.9,12.3,14.0,16.1,18.5,21.5,24.5
0,49,11.0,12.4,14.2,16.3,18.8,21.8,24.8
0,50,11.1,12.6,14.3,16.4,19.0,22.1,25.2
0,51,11.2,12.7,14.5,16.6,19.2,22.4,25.5
0,52,11.3,12.8,14.6,16.8,19.4,22.6,25.9
0,53,11.4,12.9,14.8,17.0,19.7,22.9,26.2
0,54,11.5,13.0,14.9,17.2,19.9,23.2,26.6
0,55,11.6,13.2,15.1,17.3,20.1,23.5,26.9
0,56,11.7,13.3,15.2,17.5,20.3,23.8,27.3
0,57,11.8,13.4,15.3,17.7,20.6,24.1,27.6
0,58,11.9,13.5,15.5,17.9,20.8,24.4,27.9
0,59,12.0,13.6,15.6,18.0,21.0,24.6,28.3
0,60,12.1,13.7,15.8,18.2,21.2,24.9,28.6
