is_laki,month,minus_3_sd,minus_2_sd,minus_1_sd,median,plus_1_sd,plus_2_sd,plus_3_sd
0,42,44.7,46.1,47.5,49,50.4,51.8,53.2
0,43,44.8,46.2,47.6,49,50.4,51.9,53.3
0,44,44.8,46.3,47.7,49.1,50.5,51.9,53.3
0,45,44.9,46.3,47.7,49.2,50.6,52,53.4
0,46,45,46.4,47.8,49.2,50.6,52.1,53.5
0,47,45,46.4,47.9,49.3,50.7,52.1,53.5
0,48,45.1,46.5,47.9,49.3,50.8,52.2,53.6
0,49,45.1,46.5,48,49.4,50.8,52.2,53.6
0,50,45.2,46.6,48,49.4,50.9,52.3,53.7
0,51,45.2,46.7,48.1,49.5,50.9,52.3,53.8
0,52,45.3,46.7,48.1,49.5,51,52.4,53.8
0,53,45.3,46.8,48.2,49.6,51,52.4,53.9
0,54,45.4,46.8,48.2,49.6,51.1,52.5,53.9
0,55,45.4,46.9,48.3,49.7,51.1,52.5,54
0,56,45.5,46.9,48.3,49.7,51.2,52.6,54
0,57,45.5,46.9,48.4,49.8,51.2,52.6,54.1
0,58,45.6,47,48.4,49.8,51.3,52.7,54.1
0,59,45.6,47,48.5,49.9,51.3,52.7,54.1
0,60,45.7,47.1,48.5,49.9,51.3,52.8,54.2
